URL,HTTP Status,Title,H1,Canonical,Issue Type,Severity,Message,Suggestion,Priority
https://www.petrolpricesnearme.com.au,200,Petrol Prices Near Me - Find Cheap Fuel Prices,Find Cheap Petrol Prices Near You,https://www.petrolpricesnearme.com.au/,seo,medium,Title length is 45 characters,Optimize title for better search display,Medium
https://www.petrolpricesnearme.com.au,200,Petrol Prices Near Me - Find Cheap Fuel Prices,Find Cheap Petrol Prices Near You,https://www.petrolpricesnearme.com.au/,performance,high,Page load time exceeds 3 seconds,Optimize images and resources for faster loading,High
https://www.petrolpricesnearme.com.au,200,Petrol Prices Near Me - Find Cheap Fuel Prices,Find Cheap Petrol Prices Near You,https://www.petrolpricesnearme.com.au/,accessibility,medium,Image missing alt attribute,Add descriptive alt text for better accessibility,Medium
https://www.petrolpricesnearme.com.au,200,Petrol Prices Near Me - Find Cheap Fuel Prices,Find Cheap Petrol Prices Near You,https://www.petrolpricesnearme.com.au/,javascript,high,Console error: Uncaught TypeError,Fix JavaScript error to improve user experience,High
https://www.petrolpricesnearme.com.au,200,Petrol Prices Near Me - Find Cheap Fuel Prices,Find Cheap Petrol Prices Near You,https://www.petrolpricesnearme.com.au/,asset,medium,Broken image: /images/station-icon.png,Fix or replace broken image asset,Medium
https://www.petrolpricesnearme.com,200,Petrol Prices Near Me - Find Cheap Fuel Prices,Find Cheap Petrol Prices Near You,https://www.petrolpricesnearme.com/,seo,high,Missing canonical tag,Add canonical tag to prevent duplicate content issues,High
https://www.petrolpricesnearme.com,200,Petrol Prices Near Me - Find Cheap Fuel Prices,Find Cheap Petrol Prices Near You,https://www.petrolpricesnearme.com/,mobile,high,Missing viewport meta tag,Add viewport meta tag for proper mobile rendering,High
https://www.petrolpricesnearme.com,200,Petrol Prices Near Me - Find Cheap Fuel Prices,Find Cheap Petrol Prices Near You,https://www.petrolpricesnearme.com/,performance,medium,Slow resource: /js/mapbox.js (4.2s),Optimize or compress slow-loading JavaScript,Medium
https://www.petrolpricesnearme.com,200,Petrol Prices Near Me - Find Cheap Fuel Prices,Find Cheap Petrol Prices Near You,https://www.petrolpricesnearme.com/,accessibility,medium,Form input missing label: search,Add proper label or aria-label attribute,Medium
https://www.petrolpricesnearme.com,200,Petrol Prices Near Me - Find Cheap Fuel Prices,Find Cheap Petrol Prices Near You,https://www.petrolpricesnearme.com/,seo,low,Meta description too short (120 chars),Expand meta description to 150-160 characters,Low
